id,entity,abrev_entity,surface_entity
2,Baja California,Baja ,2955487.625
3,Baja California Sur,BajaSur,2610006.584
4,Campeche,Camp,2386740.915
8,Coahuila,Coah,2317230.098
6,Chihuahua,Chih,1699050.292
18,Sonora ,Sono,1357013.843
5,Chiapas,Chia,1160515.405
10,Durango,Dura,1036955.695
19,Tamaulipas,Tamau,883540.6512
20,Nayarit,Nayar,836250.6726
21,Quintana Roo,Quint,758428.2118
22,Zacatecas,Zacat,708162.2803
15,Jalisco,Jalis,622760.9418
23,Querétaro,Queré,390917.4134
24,Tabasco,Tabas,387090.7602
13,Guerrero,Guerr,355254.4146
25,Oaxaca,Oaxac,345540.0614
16,Michoacan,Micho,335148.006
11,Estado de México,Estad,277811.9223
12,Guanajuato,Guana,236882.7632
26,Veracruz,Verac,223287.8719
27,Puebla,Puebl,211136.6048
28,San Luis Potosí,San L,197226.0453
29,Nuevo León,Nuevo,183443.3534
14,Hidalgo,Hidal,131602.4736
17,Morelos,Morel,123116.4063
1,Aguascalientes,Aguas,118127.6
30,Sinaloa,Sinal,99334.60171
31,Yucatán,Yucat,63187.42749
9,Colima,Colim,41982.22034
32,Tlaxcala,Tlaxc,34532.30341
7,Ciudad de México,Ciuda,8797.320447
